h,r,t
1659,124273,1
802,180518,1
1395,221252,1
136,104706,1
505,88984,1
541,216011,1
1673,78901,1
1673,168434,1
1666,206198,1
175,126784,1
1651,79764,1
2058,95255,1
1241,181412,1
2071,215535,1
1784,227149,1
689,105268,1
567,96959,1
1104,138152,1
175,102082,1
267,191657,1
1964,227945,1
356,109573,1
853,88077,1
1367,209496,1
2348,188774,1
267,223864,1
1651,127437,1
1090,153832,1
1197,100007,1
991,198690,1
2449,68801,1
505,144299,1
836,217353,1
1068,217128,1
720,95798,1
1003,107191,1
2040,165427,1
1373,62439,1
1444,171024,1
854,112867,1
1143,51859,1
1,75292,1
460,182644,1
483,123710,1
795,55962,1
825,225422,1
2023,67441,1
505,196089,1
940,134380,1
555,222141,1
713,126650,1
1666,172250,1
1898,190589,1
1945,113545,1
1949,161231,1
674,91604,1
620,84007,1
658,178293,1
1859,123710,1
854,185338,1
1153,218013,1
1973,214271,1
1352,169185,1
1214,111734,1
686,198006,1
364,148384,1
390,157816,1
575,121510,1
1777,111606,1
1219,87827,1
1407,210968,1
2285,173610,1
813,44902,1
2157,65594,1
1623,73118,1
1651,92561,1
1187,80137,1
244,135187,1
1150,185514,1
1222,208550,1
150,61870,1
1945,143453,1
1456,128775,1
1000,103838,1
2374,208225,1
101,136198,1
1945,52075,1
1666,194458,1
168,213810,1
990,110504,1
808,207202,1
1666,151895,1
168,104676,1
1197,198552,1
1909,214485,1
1774,132316,1
1454,95543,1
866,115133,1
575,45241,1
1197,204347,1
410,54799,1
2224,190221,1
2224,158783,1
575,108864,1
1326,70267,1
614,134988,1
2348,122058,1
2389,126158,1
1945,171913,1
682,227796,1
1656,215261,1
1395,44995,1
275,142439,1
1003,159446,1
1639,96215,1
396,200015,1
2083,62507,1
1613,182604,1
1909,210582,1
840,65839,1
754,143442,1
2486,77775,1
751,84482,1
1951,163240,1
1197,172584,1
2473,164711,1
1143,166990,1
2374,158907,1
1502,193056,1
1516,51370,1
2497,182354,1
1157,135360,1
1599,85846,1
310,198315,1
1720,161082,1
2486,212352,1
1572,75823,1
164,94403,1
575,53751,1
2262,196028,1
1158,104978,1
869,119085,1
1187,138777,1
399,125244,1
1163,207865,1
1516,125341,1
2482,142004,1
1936,56253,1
825,188614,1
1898,50890,1
1052,226051,1
1898,67050,1
1569,219327,1
1003,116536,1
1187,168484,1
1058,112805,1
1979,130130,1
396,62171,1
1316,95522,1
1720,118624,1
1131,193056,1
2243,137049,1
714,150838,1
337,86549,1
242,82627,1
1744,151609,1
562,59104,1
137,83133,1
2243,69311,1
40,73468,1
1898,186888,1
132,225273,1
479,183725,1
1651,200554,1
2281,55566,1
1651,137036,1
1911,227198,1
2164,132484,1
254,159699,1
2378,217237,1
551,188615,1
2458,201113,1
795,188259,1
253,79595,1
294,198528,1
343,107583,1
8,159600,1
2487,131226,1
2372,64872,1
2464,211452,1
2378,222407,1
2023,109726,1
1407,143749,1
963,105273,1
1656,169605,1
170,175418,1
2348,171180,1
2262,76045,1
795,123389,1
795,195659,1
2253,118923,1
541,75929,1
466,226851,1
170,223415,1
45,50883,1
2410,132245,1
1909,172076,1
1068,50169,1
1536,139310,1
2049,149200,1
1985,184481,1
963,110278,1
2262,45634,1
1231,142268,1
356,120535,1
798,103123,1
239,73877,1
2145,131565,1
1973,115394,1
1269,191876,1
1174,101169,1
2329,98617,1
1372,222954,1
1735,149535,1
267,50757,1
1068,196836,1
1840,111068,1
1956,44752,1
1950,98543,1
973,166951,1
551,183369,1
2382,96929,1
1666,48921,1
1945,119502,1
1841,114236,1
1141,147483,1
551,105486,1
2261,69156,1
267,165695,1
674,54945,1
949,58035,1
75,110620,1
1647,217698,1
1909,51985,1
